epoch_current,epoch_future,delta_t_days,a,e,i,err_x,err_y,err_z
2023-01-02 13:40:05.130048,2023-01-03 01:40:05.130048,0.5,12271.18302943293,0.0045128999999999,1.9171743701456916,-1659.4563823413846,-2512.741433567868,-37.60159836537423
2023-01-02 13:40:05.130048,2023-01-03 13:40:05.130048,1.0,12271.18302943293,0.0045128999999999,1.9171743701456916,14121.480462098207,4642.353715352061,29.45181893249537
2023-01-02 13:40:05.130048,2023-01-04 01:40:05.130048,1.5,12271.18302943293,0.0045128999999999,1.9171743701456916,1098.9828176278897,4509.313439250025,75.82833317874292
2023-01-02 13:40:05.130048,2023-01-04 13:40:05.130048,2.0,12271.18302943293,0.0045128999999999,1.9171743701456916,1448.312185294457,-8472.440666962008,7.789584537555129
2023-01-02 13:40:05.130048,2023-01-05 01:40:05.130048,2.5,12271.18302943293,0.0045128999999999,1.9171743701456916,-42.821866065629365,-4406.018768198612,-132.11166983314433
2023-01-02 13:40:05.130048,2023-01-05 13:40:05.130048,3.0,12271.18302943293,0.0045128999999999,1.9171743701456916,-16792.053535635907,8493.3251571461,-127.13171527444592
2023-01-04 19:39:20.019744,2023-01-05 07:39:20.019744,0.5,12271.182888531715,0.0045128,1.9171656434994315,17062.34537048054,11121.006051876418,-206.06400173953375
2023-01-04 19:39:20.019744,2023-01-05 19:39:20.019744,1.0,12271.182888531715,0.0045128,1.9171656434994315,-1666.1393711496594,-5048.622229018967,-47.81551357053104
2023-01-01 02:16:31.152000,2023-01-01 14:16:31.152000,0.5,12271.183131906546,0.0045128999999999,1.9171796061334472,937.9754666943151,-8542.26871739002,57.00240878423574
2023-01-01 02:16:31.152000,2023-01-02 02:16:31.152000,1.0,12271.183131906546,0.0045128999999999,1.9171796061334472,-529.4184970412862,-5515.699901011725,-482.1093298929618
2023-01-01 02:16:31.152000,2023-01-02 14:16:31.152000,1.5,12271.183131906546,0.0045128999999999,1.9171796061334472,-16053.229508693705,9425.920818305325,-420.8323966780972
2023-01-01 02:16:31.152000,2023-01-03 02:16:31.152000,2.0,12271.183131906546,0.0045128999999999,1.9171796061334472,-949.5709967172988,2531.8326183319805,198.07637919147055
2023-01-01 02:16:31.152000,2023-01-03 14:16:31.152000,2.5,12271.183131906546,0.0045128999999999,1.9171796061334472,22920.787569380474,-5656.440200804896,583.6477242544076
2023-01-01 02:16:31.152000,2023-01-04 02:16:31.152000,3.0,12271.183131906546,0.0045128999999999,1.9171796061334472,1979.5100521277643,1682.6774008960024,198.25547810636454
2023-01-01 02:16:31.152000,2023-01-04 14:16:31.152000,3.5,12271.183131906546,0.0045128999999999,1.9171796061334472,-19002.47928199247,-667.9901692095764,-501.49322026151094
2023-01-01 02:16:31.152000,2023-01-05 02:16:31.152000,4.0,12271.183131906546,0.0045128999999999,1.9171796061334472,-2165.311432277591,-5332.2979084336,-584.652208256618
2023-01-01 02:16:31.152000,2023-01-05 14:16:31.152000,4.5,12271.183131906546,0.0045128999999999,1.9171796061334472,5436.406586813139,6998.886860452281,96.16846840254766
2023-01-02 13:40:05.130048,2023-01-03 01:40:05.130048,0.5,12271.18302943293,0.0045128999999999,1.9171743701456916,-1659.4563823413846,-2512.741433567868,-37.60159836537423
2023-01-02 13:40:05.130048,2023-01-03 13:40:05.130048,1.0,12271.18302943293,0.0045128999999999,1.9171743701456916,14121.480462098207,4642.353715352061,29.45181893249537
2023-01-02 13:40:05.130048,2023-01-04 01:40:05.130048,1.5,12271.18302943293,0.0045128999999999,1.9171743701456916,1098.9828176278897,4509.313439250025,75.82833317874292
2023-01-02 13:40:05.130048,2023-01-04 13:40:05.130048,2.0,12271.18302943293,0.0045128999999999,1.9171743701456916,1448.312185294457,-8472.440666962008,7.789584537555129
2023-01-02 13:40:05.130048,2023-01-05 01:40:05.130048,2.5,12271.18302943293,0.0045128999999999,1.9171743701456916,-42.821866065629365,-4406.018768198612,-132.11166983314433
2023-01-02 13:40:05.130048,2023-01-05 13:40:05.130048,3.0,12271.18302943293,0.0045128999999999,1.9171743701456916,-16792.053535635907,8493.3251571461,-127.13171527444592
2023-01-03 04:57:28.098144,2023-01-03 16:57:28.098144,0.5,12271.183003814527,0.0045128,1.9171726248164396,19.302577548399768,8517.20550075957,-194.6648971141076
2023-01-03 04:57:28.098144,2023-01-04 04:57:28.098144,1.0,12271.183003814527,0.0045128,1.9171726248164396,4555.107650741937,10956.015323073643,685.1244199233743
2023-01-03 04:57:28.098144,2023-01-04 16:57:28.098144,1.5,12271.183003814527,0.0045128,1.9171726248164396,11004.931840999876,-12564.652778853988,685.1203648127066
2023-01-03 04:57:28.098144,2023-01-05 04:57:28.098144,2.0,12271.183003814527,0.0045128,1.9171726248164396,1099.826389443776,-5456.761400612773,-245.63678409600834
2023-01-03 04:57:28.098144,2023-01-05 16:57:28.098144,2.5,12271.183003814527,0.0045128,1.9171726248164396,-16852.626239199883,10778.295722453595,-908.6641549520475
2023-01-04 11:01:09.068736,2023-01-04 23:01:09.068736,0.5,12271.182914150117,0.0045128,1.9171673888286835,1422.229140940855,1104.2940919260209,-93.459894886435
2023-01-04 11:01:09.068736,2023-01-05 11:01:09.068736,1.0,12271.182914150117,0.0045128,1.9171673888286835,19116.599099234572,7985.998418966343,335.4775740964069
2023-01-04 11:01:09.068736,2023-01-05 23:01:09.068736,1.5,12271.182914150117,0.0045128,1.9171673888286835,-455.7673862120173,-3007.767047260334,338.77843338151433
2023-01-04 19:39:20.019744,2023-01-05 07:39:20.019744,0.5,12271.182888531715,0.0045128,1.9171656434994315,17062.34537048054,11121.006051876418,-206.06400173953375
2023-01-04 19:39:20.019744,2023-01-05 19:39:20.019744,1.0,12271.182888531715,0.0045128,1.9171656434994315,-1666.1393711496594,-5048.622229018967,-47.81551357053104
